ID_STG_OPR_ITT,VLR_CTRD_CSC,QTD_PCL,VLR_SDO_DDR,QTD_CLI_CAD_POS,QTD_OPR,ID_FNT_ITT,ID_MDL,DES_TIP_PSS,DAT_RSS_FNT_ITT,DAT_INC_DBO,QTD_OPR 
244,nan,11,nan,14,14,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,14
245,306016391.0,88,147375219.0,12,22,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,22
246,nan,33,nan,226,242,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,242
247,nan,60,nan,23,27,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,27
248,176656130.0,108,40815243.0,12,12,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,12
249,205950000.0,153,86755758.0,5,8,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,8
250,nan,21,nan,476,489,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,489
251,nan,22,nan,7,8,67,A05,F,2020-01-16,2020-01-27 10:49:48.15,8
252,nan,100,nan,1,1,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,1
253,nan,18,nan,2,2,67,B01,F,2020-01-16,2020-01-27 10:49:48.15,2
254,nan,58,nan,988,1144,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,1144
255,nan,170,nan,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2
256,nan,143,nan,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2
257,151937053.0,87,47820491.0,12,15,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,15
258,nan,67,nan,495,595,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,595
259,nan,44,nan,13,13,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,13
260,nan,8,nan,18,19,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,19
261,nan,60,nan,3,3,67,B07,F,2020-01-16,2020-01-27 10:49:48.15,3
262,nan,2,nan,2,2,67,F01,F,2020-01-16,2020-01-27 10:49:48.15,2
263,nan,65,nan,2,2,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,2
264,nan,69,nan,2,2,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,2
265,nan,354,nan,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2
266,1138599830.0,110,1101393933.0,244,255,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,255
267,441558886.0,79,255603761.0,51,67,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,67
268,233622500.0,182,195796791.0,10,10,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,10
269,nan,64,nan,113,119,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,119
270,nan,251,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
271,nan,339,nan,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,3
272,nan,309,nan,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,3
273,nan,269,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
274,nan,24,nan,3,3,67,B06,F,2020-01-16,2020-01-27 10:49:48.15,3
275,nan,273,nan,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,3
276,268040000.0,188,181347594.0,8,9,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,9
277,nan,81,nan,92,103,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,103
278,565167436.0,62,283266236.0,120,138,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,138
279,95975000.0,132,58485805.0,7,15,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,15
280,nan,74,nan,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,1
281,nan,94,nan,5,5,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,5
282,nan,275,nan,6,6,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,6
283,44100200.0,19,16925762.0,10,12,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,12
284,93050000.0,121,26815234.0,6,11,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,11
285,nan,240,nan,439,440,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,440
286,nan,90,nan,438,566,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,566
